tid,topicId,replies,favorite,support,historyPV,yesterdayPV/yesterdayUV,yesterdayUV,dateline
,,0.212894,0.180076,0.166511,0.080924,0.22904,0.13055,-0.016670
12313904,9,5,0,0,522,1,1,1433251
11962596,2,40,,0,5083,+Inf,0,18492792
12098201,23,0,0,0,340,1,1,9326333
12351191,2,9,0,0,353,1,1,772932
11780481,30,0,0,0,206,+Inf,0,30678590
12129264,,1,0,0,211,+Inf,0,7941369
12303977,36,12,0,0,1093,1,1,1951730
6886556,,14,0,0,927,+Inf,0,183313984
11895807,2,14,0,1,1560,1,1,22950215
12199940,4,5,0,0,700,1,1,4858464
12298761,2,14,0,0,1896,+Inf,0,2086326
12358187,2,10,0,0,552,1,1,680512
11951458,,0,0,0,4660,1,1,19367207
12171544,7,4,,0,1562,1,1,6143101
12289708,2,5,0,0,620,1,1,2475250
12265048,2,5,0,0,447,1,1,3449379
11912652,,7,0,0,6095,1,1,21767388
12044026,2,3,0,0,721,1,1,11491576
11807184,7,28,,2,3480,1,1,29129024
12280993,1,12,,1,709,1,1,2825316
11912211,2,19,0,0,1954,1,1,21786742
11962103,2,4,,0,591,1,1,18543902
12207872,2,22,,0,746,1,1,4632910
12219421,21,1,0,0,985,1,2,4296804
12115457,2,6,,0,183,1,1,8529118
12316247,2,1,0,0,179,1,1,1344127
12207378,23,51,,0,4782,1,1,4642694
12044238,2,7,0,0,678,1,1,11482269
11966771,2,12,0,0,1415,1,1,18156100
7948458,,5,0,0,728,1,1,161914484
12367047,2,9,0,0,64,1,1,189085
12131182,5,62,,0,10661,1,1,7853406
546807,21,1370,,4,1004767,1,1,304656073
12158697,7,17,,0,1962,0.5,2,6628481
12172624,,125,,0,9521,1.5,2,6111195
11971125,3,15,,0,2512,1,1,17796801
12360237,2,1,0,0,125,1,1,595979
11973783,2,6,0,0,1146,1,1,17611825
11952743,1,57,,5,7254,1,1,19277369
12269494,2,6,0,0,206,1,1,3300436
11862392,7,0,0,0,156,1,1,24705997
11908315,2,3,0,0,307,1,1,22045667
12364318,2,7,,0,155,1,1,406769
12293705,7,5,0,0,1062,1,1,2306746
11915620,2,11,0,1,2014,1,1,21530895
12160381,2,9,0,0,1534,1,1,6563912
8703392,8,5,0,0,19535,1,1,143230537
11964274,2,2,0,0,322,1,1,18367093
10769836,10,16,0,0,2248,1,1,87873695
11896460,2,98,,2,15535,1,1,22892208
11969772,12,4,,0,652,1,1,17896718
12184713,23,46,,0,5520,2,1,5522954
12294525,7,48,,2,1114,1,1,2244585
12215323,4,3,0,0,331,1,1,4420775
12361663,30,9,,0,400,1,1,524071
12257287,7,5,0,0,328,1,1,3617389
10988015,30,1,0,0,384,1,1,79576068
12183443,21,5,,0,1542,1,1,5594329
11904135,23,28,0,0,3290,1,1,22364870
11588496,12,2,0,0,793,1,1,47741295
11812725,,0,0,0,2,1,1,29057056
11926422,2,6,0,0,456,1,1,20802409
12055639,2,9,0,0,1420,1,1,10907423
12243024,7,4,,0,769,1,1,3885146
12153552,27,7,0,0,2622,1,1,6800178
12206184,4,3,0,0,542,1,1,4665096
11872492,2,27,0,0,2358,1,1,24210494
12219492,2,33,0,0,2178,1,1,4295437
12231892,7,5,0,1,246,1,1,3994521
12197684,21,2,0,0,1363,1,1,4931571
12199102,2,11,,0,625,1,1,4898956
11940817,1,9,,0,616,1,1,20020111
11854195,23,8,0,0,1386,1,1,25295289
11993588,4,5,0,0,257,1,1,15867889
12140068,,4,,0,365,1,1,7495462
12202666,4,4,,0,908,2,1,4764779
12350330,1,5,0,0,521,1,1,833107
12179364,23,3,0,0,711,1,1,5783357
12358076,2,34,0,0,3628,1,1,686763
12236529,2,25,,0,2144,1,1,3944609
11989185,1,17,,0,1662,1,1,16249666
12030255,4,6,,0,3938,1,1,12655169
12223582,2,57,,0,2825,1,1,4209515
12166139,23,3,0,0,676,1,1,6363227
11951694,1,24,,1,9131,1,1,19357447
12123172,23,5,0,0,692,1,1,8136558
12230496,23,37,,1,2112,1,1,4036190
11827632,6,0,0,0,229,1,1,27974665
